transaction_id,date,track_id,track_title,artist_id,artist_name,role,income_type,source,revenue_gross,revenue_net,streams
TX-2028,2026-04-01,TRK-004,Neon Rain,ART-04,Masha Wave,Автор,Стриминг,Яндекс Музыка,164000,123000,196800
TX-2029,2026-04-01,TRK-005,City Lights,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,195480,54734,269762
TX-2030,2026-04-01,TRK-005,City Lights,ART-05,Nikita Flow,Автор,Стриминг,VK Музыка,195480,97740,269762
TX-2031,2026-04-01,TRK-005,City Lights,ART-06,Anna Synth,Фит,Стриминг,VK Музыка,195480,43006,269762
TX-2032,2026-04-01,TRK-006,Velvet Bass,LABEL,Лейбл,Лейбл,Стриминг,Звук,229680,50530,358301
TX-2033,2026-04-01,TRK-006,Velvet Bass,ART-06,Anna Synth,Автор,Стриминг,Звук,229680,117137,358301
TX-2034,2026-04-01,TRK-006,Velvet Bass,ART-04,Masha Wave,Фит,Стриминг,Звук,229680,62014,358301
TX-2035,2026-04-01,TRK-007,Northern Echo,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,215000,64500,0
TX-2036,2026-04-01,TRK-007,Northern Echo,ART-01,Morgenshtern,Автор,Синхронизация,Кинопоиск,215000,75250,0
TX-2037,2026-04-01,TRK-007,Northern Echo,ART-05,Nikita Flow,Фит,Синхронизация,Кинопоиск,215000,37625,0
TX-2038,2026-04-01,TRK-007,Northern Echo,ART-02,SODA LUV,Фит,Синхронизация,Кинопоиск,215000,37625,0
TX-2039,2026-05-01,TRK-001,Новый фит,LABEL,Лейбл,Лейбл,Стриминг,Звук,136000,40800,212160
TX-2040,2026-05-01,TRK-001,Новый фит,ART-01,Morgenshtern,Автор,Стриминг,Звук,136000,54400,212160
TX-2041,2026-05-01,TRK-001,Новый фит,ART-02,SODA LUV,Фит,Стриминг,Звук,136000,40800,212160
TX-2042,2026-05-01,TRK-002,Сольный хит,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,165240,49572,0
TX-2043,2026-05-01,TRK-002,Сольный хит,ART-01,Morgenshtern,Автор,Синхронизация,Кинопоиск,165240,115668,0
TX-2044,2026-05-01,TRK-003,Трек для сериала,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,197200,59160,236640
TX-2045,2026-05-01,TRK-003,Трек для сериала,ART-03,Instasamka,Автор,Стриминг,Яндекс Музыка,197200,138040,236640
TX-2046,2026-05-01,TRK-004,Neon Rain,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,187000,46750,258060
TX-2047,2026-05-01,TRK-004,Neon Rain,ART-04,Masha Wave,Автор,Стриминг,VK Музыка,187000,140250,258060
TX-2048,2026-05-01,TRK-005,City Lights,LABEL,Лейбл,Лейбл,Стриминг,Звук,220320,61690,343699
TX-2049,2026-05-01,TRK-005,City Lights,ART-05,Nikita Flow,Автор,Стриминг,Звук,220320,110160,343699
TX-2050,2026-05-01,TRK-005,City Lights,ART-06,Anna Synth,Фит,Стриминг,Звук,220320,48470,343699
TX-2051,2026-05-01,TRK-006,Velvet Bass,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,256360,56399,0
TX-2052,2026-05-01,TRK-006,Velvet Bass,ART-06,Anna Synth,Автор,Синхронизация,Кинопоиск,256360,130744,0
TX-2053,2026-05-01,TRK-006,Velvet Bass,ART-04,Masha Wave,Фит,Синхронизация,Кинопоиск,256360,69217,0
TX-2054,2026-05-01,TRK-007,Northern Echo,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,238000,71400,285600
TX-2055,2026-05-01,TRK-007,Northern Echo,ART-01,Morgenshtern,Автор,Стриминг,Яндекс Музыка,238000,83300,285600
TX-2056,2026-05-01,TRK-007,Northern Echo,ART-05,Nikita Flow,Фит,Стриминг,Яндекс Музыка,238000,41650,285600
TX-2057,2026-05-01,TRK-007,Northern Echo,ART-02,SODA LUV,Фит,Стриминг,Яндекс Музыка,238000,41650,285600
TX-2058,2026-06-01,TRK-001,Новый фит,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,159000,47700,0
TX-2059,2026-06-01,TRK-001,Новый фит,ART-01,Morgenshtern,Автор,Синхронизация,Кинопоиск,159000,63600,0
TX-2060,2026-06-01,TRK-001,Новый фит,ART-02,SODA LUV,Фит,Синхронизация,Кинопоиск,159000,47700,0
TX-2061,2026-06-01,TRK-002,Сольный хит,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,190080,57024,228096
TX-2062,2026-06-01,TRK-002,Сольный хит,ART-01,Morgenshtern,Автор,Стриминг,Яндекс Музыка,190080,133056,228096
TX-2063,2026-06-01,TRK-003,Трек для сериала,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,223880,67164,308954
TX-2064,2026-06-01,TRK-003,Трек для сериала,ART-03,Instasamka,Автор,Стриминг,VK Музыка,223880,156716,308954
TX-2065,2026-06-01,TRK-004,Neon Rain,LABEL,Лейбл,Лейбл,Стриминг,Звук,210000,52500,327600
TX-2066,2026-06-01,TRK-004,Neon Rain,ART-04,Masha Wave,Автор,Стриминг,Звук,210000,157500,327600
TX-2067,2026-06-01,TRK-005,City Lights,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,245160,68645,0
TX-2068,2026-06-01,TRK-005,City Lights,ART-05,Nikita Flow,Автор,Синхронизация,Кинопоиск,245160,122580,0
TX-2069,2026-06-01,TRK-005,City Lights,ART-06,Anna Synth,Фит,Синхронизация,Кинопоиск,245160,53935,0
TX-2070,2026-06-01,TRK-006,Velvet Bass,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,283040,62269,339648
TX-2071,2026-06-01,TRK-006,Velvet Bass,ART-06,Anna Synth,Автор,Стриминг,Яндекс Музыка,283040,144350,339648
TX-2072,2026-06-01,TRK-006,Velvet Bass,ART-04,Masha Wave,Фит,Стриминг,Яндекс Музыка,283040,76421,339648
TX-2073,2026-06-01,TRK-007,Northern Echo,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,261000,78300,360180
TX-2074,2026-06-01,TRK-007,Northern Echo,ART-01,Morgenshtern,Автор,Стриминг,VK Музыка,261000,91350,360180
TX-2075,2026-06-01,TRK-007,Northern Echo,ART-05,Nikita Flow,Фит,Стриминг,VK Музыка,261000,45675,360180
TX-2076,2026-06-01,TRK-007,Northern Echo,ART-02,SODA LUV,Фит,Стриминг,VK Музыка,261000,45675,360180
TX-2077,2026-07-01,TRK-001,Новый фит,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,182000,54600,218400
TX-2078,2026-07-01,TRK-001,Новый фит,ART-01,Morgenshtern,Автор,Стриминг,Яндекс Музыка,182000,72800,218400
TX-2079,2026-07-01,TRK-001,Новый фит,ART-02,SODA LUV,Фит,Стриминг,Яндекс Музыка,182000,54600,218400
TX-2080,2026-07-01,TRK-002,Сольный хит,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,214920,64476,296590
TX-2081,2026-07-01,TRK-002,Сольный хит,ART-01,Morgenshtern,Автор,Стриминг,VK Музыка,214920,150444,296590
TX-2082,2026-07-01,TRK-003,Трек для сериала,LABEL,Лейбл,Лейбл,Стриминг,Звук,250560,75168,390874
TX-2083,2026-07-01,TRK-003,Трек для сериала,ART-03,Instasamka,Автор,Стриминг,Звук,250560,175392,390874
TX-2084,2026-07-01,TRK-004,Neon Rain,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,233000,58250,0
TX-2085,2026-07-01,TRK-004,Neon Rain,ART-04,Masha Wave,Автор,Синхронизация,Кинопоиск,233000,174750,0
TX-2086,2026-07-01,TRK-005,City Lights,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,270000,75600,324000
TX-2087,2026-07-01,TRK-005,City Lights,ART-05,Nikita Flow,Автор,Стриминг,Яндекс Музыка,270000,135000,324000
TX-2088,2026-07-01,TRK-005,City Lights,ART-06,Anna Synth,Фит,Стриминг,Яндекс Музыка,270000,59400,324000
TX-2089,2026-07-01,TRK-006,Velvet Bass,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,309720,68138,427414
TX-2090,2026-07-01,TRK-006,Velvet Bass,ART-06,Anna Synth,Автор,Стриминг,VK Музыка,309720,157957,427414
TX-2091,2026-07-01,TRK-006,Velvet Bass,ART-04,Masha Wave,Фит,Стриминг,VK Музыка,309720,83624,427414
TX-2092,2026-07-01,TRK-007,Northern Echo,LABEL,Лейбл,Лейбл,Стриминг,Звук,284000,85200,443040
TX-2093,2026-07-01,TRK-007,Northern Echo,ART-01,Morgenshtern,Автор,Стриминг,Звук,284000,99400,443040
TX-2094,2026-07-01,TRK-007,Northern Echo,ART-05,Nikita Flow,Фит,Стриминг,Звук,284000,49700,443040
TX-2095,2026-07-01,TRK-007,Northern Echo,ART-02,SODA LUV,Фит,Стриминг,Звук,284000,49700,443040
TX-2096,2026-08-01,TRK-001,Новый фит,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,205000,61500,282900
TX-2097,2026-08-01,TRK-001,Новый фит,ART-01,Morgenshtern,Автор,Стриминг,VK Музыка,205000,82000,282900
TX-2098,2026-08-01,TRK-001,Новый фит,ART-02,SODA LUV,Фит,Стриминг,VK Музыка,205000,61500,282900
TX-2099,2026-08-01,TRK-002,Сольный хит,LABEL,Лейбл,Лейбл,Стриминг,Звук,239760,71928,374026
TX-2100,2026-08-01,TRK-002,Сольный хит,ART-01,Morgenshtern,Автор,Стриминг,Звук,239760,167832,374026
TX-2101,2026-08-01,TRK-003,Трек для сериала,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,277240,83172,0
TX-2102,2026-08-01,TRK-003,Трек для сериала,ART-03,Instasamka,Автор,Синхронизация,Кинопоиск,277240,194068,0
TX-2103,2026-08-01,TRK-004,Neon Rain,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,256000,64000,307200
TX-2104,2026-08-01,TRK-004,Neon Rain,ART-04,Masha Wave,Автор,Стриминг,Яндекс Музыка,256000,192000,307200
TX-2105,2026-08-01,TRK-005,City Lights,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,294840,82555,406879
TX-2106,2026-08-01,TRK-005,City Lights,ART-05,Nikita Flow,Автор,Стриминг,VK Музыка,294840,147420,406879
TX-2107,2026-08-01,TRK-005,City Lights,ART-06,Anna Synth,Фит,Стриминг,VK Музыка,294840,64865,406879
TX-2108,2026-08-01,TRK-006,Velvet Bass,LABEL,Лейбл,Лейбл,Стриминг,Звук,336400,74008,524784
TX-2109,2026-08-01,TRK-006,Velvet Bass,ART-06,Anna Synth,Автор,Стриминг,Звук,336400,171564,524784
TX-2110,2026-08-01,TRK-006,Velvet Bass,ART-04,Masha Wave,Фит,Стриминг,Звук,336400,90828,524784
TX-2111,2026-08-01,TRK-007,Northern Echo,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,307000,92100,0
TX-2112,2026-08-01,TRK-007,Northern Echo,ART-01,Morgenshtern,Автор,Синхронизация,Кинопоиск,307000,107450,0
TX-2113,2026-08-01,TRK-007,Northern Echo,ART-05,Nikita Flow,Фит,Синхронизация,Кинопоиск,307000,53725,0
TX-2114,2026-08-01,TRK-007,Northern Echo,ART-02,SODA LUV,Фит,Синхронизация,Кинопоиск,307000,53725,0
TX-2115,2026-09-01,TRK-001,Новый фит,LABEL,Лейбл,Лейбл,Стриминг,Звук,228000,68400,355680
TX-2116,2026-09-01,TRK-001,Новый фит,ART-01,Morgenshtern,Автор,Стриминг,Звук,228000,91200,355680
TX-2117,2026-09-01,TRK-001,Новый фит,ART-02,SODA LUV,Фит,Стриминг,Звук,228000,68400,355680
TX-2118,2026-09-01,TRK-002,Сольный хит,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,264600,79380,0
TX-2119,2026-09-01,TRK-002,Сольный хит,ART-01,Morgenshtern,Автор,Синхронизация,Кинопоиск,264600,185220,0
TX-2120,2026-09-01,TRK-003,Трек для сериала,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,303920,91176,364704
TX-2121,2026-09-01,TRK-003,Трек для сериала,ART-03,Instasamka,Автор,Стриминг,Яндекс Музыка,303920,212744,364704
TX-2122,2026-09-01,TRK-004,Neon Rain,LABEL,Лейбл,Лейбл,Стриминг,VK Музыка,279000,69750,385020
TX-2123,2026-09-01,TRK-004,Neon Rain,ART-04,Masha Wave,Автор,Стриминг,VK Музыка,279000,209250,385020
TX-2124,2026-09-01,TRK-005,City Lights,LABEL,Лейбл,Лейбл,Стриминг,Звук,319680,89510,498701
TX-2125,2026-09-01,TRK-005,City Lights,ART-05,Nikita Flow,Автор,Стриминг,Звук,319680,159840,498701
TX-2126,2026-09-01,TRK-005,City Lights,ART-06,Anna Synth,Фит,Стриминг,Звук,319680,70330,498701
TX-2127,2026-09-01,TRK-006,Velvet Bass,LABEL,Лейбл,Лейбл,Синхронизация,Кинопоиск,363080,79878,0
TX-2128,2026-09-01,TRK-006,Velvet Bass,ART-06,Anna Synth,Автор,Синхронизация,Кинопоиск,363080,185171,0
TX-2129,2026-09-01,TRK-006,Velvet Bass,ART-04,Masha Wave,Фит,Синхронизация,Кинопоиск,363080,98032,0
TX-2130,2026-09-01,TRK-007,Northern Echo,LABEL,Лейбл,Лейбл,Стриминг,Яндекс Музыка,330000,99000,396000
TX-2131,2026-09-01,TRK-007,Northern Echo,ART-01,Morgenshtern,Автор,Стриминг,Яндекс Музыка,330000,115500,396000
TX-2132,2026-09-01,TRK-007,Northern Echo,ART-05,Nikita Flow,Фит,Стриминг,Яндекс Музыка,330000,57750,396000
TX-2133,2026-09-01,TRK-007,Northern Echo,ART-02,SODA LUV,Фит,Стриминг,Яндекс Музыка,330000,57750,396000
